,Name,Rank,Year,Rating
0,The Shawshank Redemption,1,1994,9.2
1,The Godfather,2,1972,9.2
2,The Dark Knight,3,2008,9.0
3,The Godfather Part II,4,1974,9.0
4,12 Angry Men,5,1957,8.9
5,Schindler's List,6,1993,8.9
6,The Lord of the Rings: The Return of the King,7,2003,8.9
7,Pulp Fiction,8,1994,8.9
8,The Lord of the Rings: The Fellowship of the Ring,9,2001,8.8
9,"The Good, the Bad and the Ugly",10,1966,8.8
10,Forrest Gump,11,1994,8.8
11,Fight Club,12,1999,8.7
12,Inception,13,2010,8.7
13,The Lord of the Rings: The Two Towers,14,2002,8.7
14,Star Wars: Episode V - The Empire Strikes Back,15,1980,8.7
15,The Matrix,16,1999,8.7
16,Goodfellas,17,1990,8.7
17,One Flew Over the Cuckoo's Nest,18,1975,8.6
18,Se7en,19,1995,8.6
19,Seven Samurai,20,1954,8.6
20,It's a Wonderful Life,21,1946,8.6
21,The Silence of the Lambs,22,1991,8.6
22,City of God,23,2002,8.6
23,Saving Private Ryan,24,1998,8.6
24,Life Is Beautiful,25,1997,8.6
25,The Green Mile,26,1999,8.6
26,Interstellar,27,2014,8.6
27,Star Wars,28,1977,8.6
28,Terminator 2: Judgment Day,29,1991,8.5
29,Back to the Future,30,1985,8.5
30,Spirited Away,31,2001,8.5
31,Psycho,32,1960,8.5
32,The Pianist,33,2002,8.5
33,Léon: The Professional,34,1994,8.5
34,Parasite,35,2019,8.5
35,The Lion King,36,1994,8.5
36,Gladiator,37,2000,8.5
37,American History X,38,1998,8.5
38,The Usual Suspects,39,1995,8.5
39,The Departed,40,2006,8.5
40,The Prestige,41,2006,8.5
41,Casablanca,42,1942,8.5
42,Whiplash,43,2014,8.5
43,The Intouchables,44,2011,8.5
44,Harakiri,45,1962,8.5
45,Modern Times,46,1936,8.4
46,Grave of the Fireflies,47,1988,8.4
47,Once Upon a Time in the West,48,1968,8.4
48,Top Gun: Maverick,49,2022,8.4
49,Rear Window,50,1954,8.4
50,Alien,51,1979,8.4
51,City Lights,52,1931,8.4
52,Cinema Paradiso,53,1988,8.4
53,Memento,54,2000,8.4
54,Apocalypse Now,55,1979,8.4
55,Indiana Jones and the Raiders of the Lost Ark,56,1981,8.4
56,Django Unchained,57,2012,8.4
57,WALL·E,58,2008,8.4
58,The Lives of Others,59,2006,8.4
59,Sunset Blvd.,60,1950,8.4
60,Paths of Glory,61,1957,8.4
61,The Shining,62,1980,8.4
62,The Great Dictator,63,1940,8.4
63,Witness for the Prosecution,64,1957,8.4
64,Avengers: Infinity War,65,2018,8.4
65,Aliens,66,1986,8.3
66,American Beauty,67,1999,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,68,1964,8.3
68,Spider-Man: Into the Spider-Verse,69,2018,8.3
69,The Dark Knight Rises,70,2012,8.3
70,Oldboy,71,2003,8.3
71,Joker,72,2019,8.3
72,Amadeus,73,1984,8.3
73,Braveheart,74,1995,8.3
74,Toy Story,75,1995,8.3
75,Coco,76,2017,8.3
76,The Boat,77,1981,8.3
77,Inglourious Basterds,78,2009,8.3
78,Princess Mononoke,79,1997,8.3
79,Avengers: Endgame,80,2019,8.3
80,Once Upon a Time in America,81,1984,8.3
81,Good Will Hunting,82,1997,8.3
82,Your Name.,83,2016,8.3
83,Toy Story 3,84,2010,8.3
84,Requiem for a Dream,85,2000,8.3
85,Singin' in the Rain,86,1952,8.3
86,3 Idiots,87,2009,8.3
87,Star Wars: Episode VI - Return of the Jedi,88,1983,8.3
88,High and Low,89,1963,8.3
89,2001: A Space Odyssey,90,1968,8.3
90,Eternal Sunshine of the Spotless Mind,91,2004,8.3
91,Reservoir Dogs,92,1992,8.3
92,Capernaum,93,2018,8.3
93,Citizen Kane,94,1941,8.3
94,Lawrence of Arabia,95,1962,8.3
95,The Hunt,96,2012,8.3
96,M,97,1931,8.3
97,North by Northwest,98,1959,8.3
98,Vertigo,99,1958,8.2
99,Come and See,100,1985,8.2
100,Amélie,101,2001,8.2
101,A Clockwork Orange,102,1971,8.2
102,Full Metal Jacket,103,1987,8.2
103,Double Indemnity,104,1944,8.2
104,The Apartment,105,1960,8.2
105,Scarface,106,1983,8.2
106,Ikiru,107,1952,8.2
107,The Sting,108,1973,8.2
108,To Kill a Mockingbird,109,1962,8.2
109,Taxi Driver,110,1976,8.2
110,Up,111,2009,8.2
111,Heat,112,1995,8.2
112,L.A. Confidential,113,1997,8.2
113,Metropolis,114,1927,8.2
114,A Separation,115,2011,8.2
115,Incendies,116,2010,8.2
116,Die Hard,117,1988,8.2
117,Snatch,118,2000,8.2
118,Hamilton,119,2020,8.2
119,Bicycle Thieves,120,1948,8.2
120,Indiana Jones and the Last Crusade,121,1989,8.2
121,1917,122,2019,8.2
122,Like Stars on Earth,123,2007,8.2
123,Downfall,124,2004,8.2
124,For a Few Dollars More,125,1965,8.2
125,Batman Begins,126,2005,8.2
126,Dangal,127,2016,8.2
127,The Kid,128,1921,8.2
128,Some Like It Hot,129,1959,8.2
129,Spider-Man: No Way Home,130,2021,8.2
130,The Father,131,2020,8.2
131,All About Eve,132,1950,8.2
132,Green Book,133,2018,8.2
133,The Wolf of Wall Street,134,2013,8.2
134,Judgment at Nuremberg,135,1961,8.2
135,Ran,136,1985,8.2
136,Unforgiven,137,1992,8.2
137,Casino,138,1995,8.2
138,Pan's Labyrinth,139,2006,8.2
139,There Will Be Blood,140,2007,8.2
140,The Sixth Sense,141,1999,8.2
141,The Truman Show,142,1998,8.2
142,A Beautiful Mind,143,2001,8.2
143,Monty Python and the Holy Grail,144,1975,8.2
144,Yojimbo,145,1961,8.2
145,The Treasure of the Sierra Madre,146,1948,8.1
146,Shutter Island,147,2010,8.1
147,Jurassic Park,148,1993,8.1
148,Rashomon,149,1950,8.1
149,The Great Escape,150,1963,8.1
150,Kill Bill: Vol. 1,151,2003,8.1
151,No Country for Old Men,152,2007,8.1
152,Finding Nemo,153,2003,8.1
153,The Elephant Man,154,1980,8.1
154,Chinatown,155,1974,8.1
155,Raging Bull,156,1980,8.1
156,Gone with the Wind,157,1939,8.1
157,The Thing,158,1982,8.1
158,V for Vendetta,159,2006,8.1
